"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"MBAS16",140,146.176470588235,4.38140575375304,148.008709472346,5.97127636405385,3.88273749506067,0.962535192794438,26.6917161621358,26.8676746353397
"MBAS17",45,49.2,4.33638060460189,49.4634096816114,3.48992649256077,1.76970332186334,0.728366527030202,3.68143141221475,6.84511054973282
"MBAS18",57,76,11.6104797808162,78.8188657407407,4.9169659754347,1.43344664032231,0.573986133805374,2.34734143499251,9.05527544383408
"MBAS19",68,79.4,6.95435550639855,85.1220516037729,4.48897014761944,1.90991880772791,0.791877673250673,4.80486652066143,11.1755216928757
"MBAS20",66,71,4.13231288477462,73.6604254300469,4.18488508661434,2.35056725370399,0.848149015869964,6.58540348440326,10.7837230530902
"MBAS22",48,52.6666666666667,4.48906921975584,52.4633569739953,3.43970553254712,1.88206264350066,0.722882942324533,3.60858334881393,7.3869231570534
"MBAS25",65,76.375,8.08240135696657,77.9034749034749,4.41850259232703,2.40794034792931,0.853990952998847,6.84889067176844,10.5888514478654
"MBAS29",83,88,4.13261284396527,89.6165910509885,4.62978273221584,2.47250783370947,0.82244108836345,5.63193359760464,14.1977835081709
"MBAS3",35,36.2,1.83822878958875,37.5723196881092,2.99567943629029,1.77589142684058,0.702375254976718,3.35993567981646,5.09545673511317
"MBAS30",84,97.1538461538462,7.99287838102438,97.866322209198,4.73796638896673,2.2813824967298,0.834333883335469,6.03623734372293,14.4043234487311
"MBAS31",81,90.5625,6.0364505938808,92.9238811415199,4.48355600929327,2.17103486947294,0.781737592912982,4.58164103175732,13.7865498995049
"MBAS32",62,64,2.13503034916058,66.3363872918671,3.82274536539985,1.83264138232112,0.729039929220599,3.69058067162279,10.0084116721701
"MBAS34",46,46.0714285714286,0.30756955068011,46.869078119807,3.2933966731154,1.77473471159454,0.701692341220257,3.35224380121717,7.02488746358219
"MBAS4",61,70.5454545454545,6.56549233316876,72.2278766120918,4.15668515388508,1.84445107033632,0.710251165417147,3.45126496001161,9.81634213135561
"MBAS7",52,63,8.47121383538376,60.7406911532016,3.70915397141098,1.75545393952038,0.701011346463967,3.3446085266894,8.12066246198951
"MBC10AS",63,93,17.8871821072885,85.7747122344844,4.64853217570509,1.09794859631819,0.367222542611816,1.5803344261465,10.201190224413
"MBC11AS",108,124.235294117647,8.75600422549193,126.082000275783,5.42648479728409,2.5047835477653,0.835993484744116,6.09731874639121,19.5375467056625
"MBC13AS",68,71.1111111111111,3.10061918876812,72.2674691912891,4.15309473438202,2.70487384313716,0.89260056895852,9.31103629044162,11.1755216928757
"MBC14AS",72,108.25,17.8259181708333,108.691183127846,5.25032694540443,0.74080825560376,0.240613919859883,1.31685321360577,11.9672005356845
"MBC15AS",75,81.6,5.13526475633409,82.2854592342789,4.3621013116508,2.7250830145127,0.891146133698577,9.18662821980933,12.5678830979233
"MBC16AS",46,49.3333333333333,4.12017353962953,48.654781986275,3.38600647691674,2.08430979151062,0.766737519490367,4.28701605939881,7.02488746358219
"MBC17AS",54,61.2,6.43544321797378,60.1829081632653,3.82660493002784,1.53279040635419,0.556257492444145,2.2535591767127,8.49222919876737
"MBC18AS",53,58.1428571428571,4.64965355786853,57.5994422857143,3.47900401353555,1.52733590900758,0.616210895782605,2.60559768115135,8.30606111167243
"MBC19AS",45,49.5,3.91526086956766,51.8353827439141,3.40730809278967,1.51953495484449,0.618477652158358,2.62107843919819,6.84511054973282
"MBC1S",62,66.5,3.91585604580002,67.8624281470622,3.87449715947888,1.86244539487113,0.68749991656521,3.19999914562798,10.0084116721701
"MBC20AS",91,97.1764705882353,4.38115096698287,100.55010054582,4.75324975637565,2.25576760032829,0.786066273254945,4.67434478525071,15.8670212278098
"MBC21S",28,30,2.87646902887448,30.0328709191683,2.61068230168072,1.75278433396847,0.738702929428852,3.82706165750034,3.9276568603677
"MBC22AS",37,41.2,4.33530124595787,42.6801783264746,3.23413869137693,1.95906057508465,0.782688415780255,4.6016874967365,5.43809379471996
"MBC23AS",41,48.5,6.34763374660078,54.9259259259259,4.27018466291304,1.83852559563632,0.731965069524542,3.7308570126518,6.13451575179457
"MBC24S",46,68,17.4530181669892,56.245377097162,3.72280200329142,1.68647047035864,0.707809529721475,3.42242510184116,7.02488746358219
"MBC26S",32,34.5,3.15510857894424,35.4448682822962,2.92129415280194,1.00065875614899,0.356519861484899,1.55404951939559,4.58880698940897
"MBC27S",32,34.1428571428571,2.52851640013619,35.2510769230769,2.72300009661645,1.25274899257753,0.593791383655859,2.46178923775658,4.58880698940897
"MBC28AS",41,43.625,2.82600761338971,45.5292118295865,3.07323846565206,1.43414642689972,0.624480368127643,2.66297661992785,6.13451575179457
"MBC28S",66,69.6666666666667,3.14449507119371,72.9049955432871,3.90535211680925,1.96444399473515,0.757773452518262,4.12836664847974,10.7837230530902
"MBC29AS",68,70.3333333333333,2.42286359031993,71.7708703747366,3.97873880954451,2.15949673419958,0.762949413153061,4.21850885627922,11.1755216928757
"MBC2S",60,64.5,4.10553016149885,66.0517396449704,4.0147919500479,2.23158181216321,0.820819282914691,5.58095768488243,9.62498753709765
"MBC30AS",86,126.625,22.0214825790396,107.84592019682,4.95492184688314,2.06977650707653,0.755141335196933,4.08398861769614,14.8192323570347
"MBC31AS",45,53.25,6.358586861135,53.3695155937093,3.30283174597292,1.66060943466251,0.739596432595369,3.84019316619476,6.84511054973282
"MBC32S",44,46.5,2.89683477823253,47.2346362983482,3.3108812469619,1.69853639522086,0.670156076455637,3.03173691743181,6.66617423201909
"MBC33S",39,45,5.38464896204427,47.5078125,3.51150162152674,1.29786331648018,0.516742275273399,2.06928921946512,5.78448366007292
"MBC34AS",47,49.1,2.3340979059635,51.0755232379194,3.32392187659321,1.09861631356358,0.41910896984066,1.72149327168246,7.20549489883423
"MBC35S",52,65,9.25417297360665,64.1864810229299,3.988422612553,0.989818755789331,0.336065739272288,1.50617321495646,8.12066246198951
"MBC36S",31,41.5,10.5270735301143,36.8770161290323,3.00771265160271,0.715161494280043,0.241986922764749,1.31923845383692,4.4219400262087
"MBC3S",68,77.1666666666667,7.37883849618144,74.5406456712568,4.19440211579658,2.45570588160963,0.859004632967021,7.09243162412635,11.1755216928757
"MBC4S",48,51.6,3.35502382759362,55.5713346577569,3.72542109490335,1.69108399894116,0.688536677266222,3.21065090818012,7.3869231570534
"MBC5S",52,61.1,6.48270592459247,65.635166093929,3.95634452432505,2.04069440669129,0.807223500443206,5.1873542796921,8.12066246198951
"MBC6S",37,37.6,1.18444438900199,38.62655749377,2.94956106699617,2.10261915645091,0.793290891724337,4.83771619132728,5.43809379471996
"MBC7S",35,36,1.57894127679137,37.5793234554096,3.05722942364506,1.70910178040538,0.742350698449314,3.88124475394037,5.09545673511317
"MBC8S",32,33.2,1.8379506659871,35.5853117732951,2.88675978435116,1.86921869637174,0.743568345775129,3.89967456639763,4.58880698940897
"MBC9S",41,44.5,3.65869920875232,44.9722222222222,3.17689401528173,1.32420724711636,0.506464360662566,2.02619612505084,6.13451575179457
"MBS1",113,119,4.53515979950441,119.210601405329,5.18426103562804,2.56029344957656,0.838958423442907,6.20957656636871,20.6476382785136
"MBS10",86,87.0714285714286,1.43965892158409,88.5223092387554,4.56584971003162,2.81777840949108,0.899389490954334,9.93931955503882,14.8192323570347
"MBS11",77,78.5,1.77666496885118,80.0131575387621,4.0509103133509,2.04704828196616,0.78050425984664,4.5558970725414,12.9715692132342
"MBS12",63,63,0.0708594103945567,63.3429162557172,3.96165581812416,2.04163217010738,0.715629455417788,3.51653861151185,10.201190224413
"MBS13",108,112.55,3.45096444011964,113.672485283376,4.72005144944848,2.16138328252163,0.78609998091012,4.67508139669592,19.5375467056625
"MBS14",49,53.0909090909091,3.59441567497504,56.4090777742168,3.54834260370776,1.37736144546134,0.629815856080995,2.70135827378602,7.56916289459798
"MBS15",86,91.5,4.33838219079348,91.5296052360873,4.12530148840822,1.67572744245406,0.590385325222137,2.44131878464146,14.8192323570347
"MBS17",51,78.1428571428571,16.4984559717422,75.6178043409877,4.83868426243292,0.944976906210944,0.387504538852578,1.63266515987995,7.93604108941908
"MBS18",53,66.3333333333333,8.8466784243816,66.6847870254227,4.35198774749146,1.26072130921818,0.542173282711777,2.18423251033306,8.30606111167243
"MBS19",101,110,5.7051408085315,112.329438059997,4.91515228613233,2.07588936741265,0.713981368010167,3.49627572526655,18.0063986683212
"MBS2",176,201.869565217391,11.5079974987581,195.69320066335,6.25342001065058,2.727677467686,0.836972258266051,6.13392536364725,35.7152543075962
"MBS20",77,94.7692307692308,10.0155834876505,95.8782193738761,4.69092342435598,1.55694932111322,0.623038030912256,2.65278750113711,12.9715692132342
"MBS21",112,121.24,5.3650995893007,127.769624359029,5.19837088952473,2.25935301801017,0.794616169929301,4.86893247465377,20.4245414217289
"MBS22",97,102.833333333333,4.16499723110501,105.610373821588,4.52471616675256,2.11589734936531,0.793054854703319,4.83219840004644,17.1437631652193
"MBS24",156,187.783783783784,11.9385724178579,199.304768891914,7.5919399572217,2.43796433337568,0.817165756893716,5.46943495381599,30.7245901421375
"MBS25",115,126,6.28799719188608,129.419993241204,5.35702117549823,2.81124783929844,0.894513478389722,9.47988410969241,21.0954356328661
"MBS26",65,77.3636363636364,7.94985237088836,78.4552039567648,4.36932065481995,1.79822948778546,0.739504904630698,3.83884386990974,10.5888514478654
"MBS27",105,119.882352941176,8.21061321251446,121.269468566887,5.2403560295775,2.3510878292445,0.804308455748857,5.1100828287023,18.8780221205508
"MBS29",77,83.5,4.88049978080583,84.4294830805794,4.28948481315022,2.06926941696207,0.779961933711393,4.54466818795061,12.9715692132342
"MBS3",52,58.875,5.56356487047412,59.2114810356427,3.60235900247383,2.07690058196821,0.839125209588193,6.21601431423904,8.12066246198951
"MBS31",148,201.454545454545,20.3840827675149,194.176191334655,7.12080509382614,2.33090116385655,0.809239451840104,5.24217407449363,28.7807344645627
"MBS32",67,71.5882352941177,3.57440100886463,76.1282640583893,4.19763877945711,1.74955830687377,0.695191769858815,3.28075130890267,10.9792815247528
"MBS33",92,101.714285714286,6.29048675268749,103.549086284541,4.87891542668118,2.43829447669083,0.831269657236533,5.92661630162063,16.0783568510162
"MBS34",97,107.058823529412,6.17648617536611,107.623640972164,4.52417090082203,2.02328985183638,0.76619644487697,4.27709492900478,17.1437631652193
"MBS35",62,77.8333333333333,9.36677960200227,82.8123076923077,4.52519056208683,1.64581526517781,0.723598312214319,3.61792291505611,10.0084116721701
"MBS36",122,132.12,5.7163845528184,138.115484623196,5.48456425829811,2.6109293543113,0.825348707361485,5.72569481102984,22.6793621965992
"MBS4",59,65.875,5.56395298387023,67.4638360246059,4.05657182148662,2.47904314603967,0.869737517487932,7.6768074791401,9.43435399853725
"MBS5",48,50.1538461538462,2.26748768243041,52.8052836296238,3.27573539091534,1.67102686377194,0.749501977738263,3.99204748592839,7.3869231570534
"MBS6",87,97.0588235294118,6.17638305076527,99.9952667705371,4.65378882022742,1.83539719586994,0.74488569767504,3.91981159380949,15.0275946436554
"MBS7",139,153,8.08711644733925,152.626293203198,6.11640141891019,3.44953947583473,0.913719082404204,11.5900482733012,26.6307389542213
"MBS8",56,73,10.9902957661474,75.0078453296063,4.27039131075761,1.83420620271856,0.76200476446025,4.20176478630801,8.86684359093187
"MBS9",59,60.4,1.68363691446518,63.1471756953876,3.720132292992,1.71447636327267,0.678987398676791,3.1151425080449,9.43435399853725
